lat,lon,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,plot,loss
39.725,116.095,-0.02118441,0.044310384,0.077945618,-0.012192784,0.022231634,-0.032323528,0.107987309,0.011643437,0.009567406,-0.009504301,0.045221646,0.156177502,0.509003986,0.546072109,0.358195978,0.119814437,-0.046999613,0.127168036,0.354641197,0.154860693,0.203785555,0.125804825,0.29350782,0.087356533,-0.000490097,-0.006051468,0.021774289,0.143974205,0.116189062,,1.406478885
39.725,116.105,-0.045819636,0.038097792,0.060123296,0.042535418,-0.006767381,0.048294191,0.047699205,0.066625841,-0.117955779,0.355933178,0.720657147,1.387653915,0.712705079,0.254815639,0.653674429,0.61045016,0.918051563,0.720715237,0.348631319,1.018562011,0.740504287,0.480209267,0.390889432,0.886184565,0.681595693,0.708136892,0.542940868,0.333309045,0.093804117,,0.973184656
39.725,116.115,-0.124780788,0.065576018,-0.017670473,0.000379112,0.000692494,0.006275918,-0.042827245,0.142999235,-0.360750098,1.143618377,2.077096945,5.463810641,3.898996595,1.655225006,1.520141452,1.162141848,3.498340036,2.262791248,2.300214932,2.172972189,1.383341297,2.291781519,4.285791829,4.18778098,3.537562203,2.078257579,1.826639894,0.687560975,-0.121813696,,0.505901058
39.725,116.125,0.032988329,-0.008506181,0.002257232,-0.000144087,-0.000118871,-0.001077301,0.006635518,-0.026301215,0.101217105,-0.379119134,2.568875203,4.523668776,3.565158466,2.782993048,2.343693182,2.14309748,1.380255962,2.277540196,1.694174013,2.084092719,1.412716147,2.276821219,2.442637374,2.097731434,2.131226918,1.729285088,0.431013799,0.097874231,0.209414749,,0.551452067
39.725,116.135,0.052980503,-0.003995488,0.082160721,0.100955377,0.034548122,0.112924196,0.073306528,0.001327534,0.032490162,0.268896826,0.684111227,3.261263044,3.697969034,2.309044818,3.022496655,3.417598398,4.774138055,3.719821042,4.548387403,3.666141267,4.608221639,4.095210427,6.60527084,5.649041888,3.769696201,1.807754827,0.787173633,0.660684875,0.506604955,,0.343048217
39.725,116.145,-0.061395643,0.051869013,-0.062627013,0.062623317,0.402175082,0.032156413,-0.006837208,0.03719675,-0.104641085,0.250432521,1.294720663,3.121288297,2.999008955,1.282675142,1.590855586,1.27030732,2.06114007,1.191035939,2.14307478,0.912078803,1.366049921,2.299424712,1.701935678,1.216122181,0.903050562,0.695618098,0.257395163,0.081985209,0.010144204,,0.553969893
39.725,116.155,-0.08138647,0.014766385,0.001719551,-0.000724239,-4.58E-05,-0.000415006,-0.003504391,0.042247089,-0.171471861,0.434904487,3.13169789,2.585927572,2.004908797,0.469733831,0.170593913,0.009734327,0.661485456,0.117288356,0.614647301,0.309196598,0.607326633,0.564782117,0.754692435,1.181046848,1.842432527,1.052669528,0.488370882,0.193757193,0.194638857,,0.553676676
39.725,116.165,0.010522749,0.000254757,-0.000425308,-9.60E-06,1.10E-20,2.63E-20,-8.70E-05,-0.003212888,0.026166842,-0.091279945,0.221620374,0.706476138,0.332266784,0.50993616,0.72337553,0.711395605,1.171345929,1.112207791,0.705620652,0.566679991,0.960577676,1.015114241,1.408587886,1.622273509,0.943370813,1.415693157,0.970665473,0.26900511,0.078367711,,0.75279301
39.725,116.175,-0.041390204,0.009230879,-7.77E-05,-0.000342821,7.38E-06,6.69E-05,-0.003599809,0.025698366,-0.098432425,0.291313855,0.272541427,1.780490634,2.122700043,1.044653459,1.446626695,0.540883064,0.40222973,0.736847678,0.312579818,0.296528909,0.407468816,0.46873169,0.519511347,0.293016017,0.331031823,-0.000147464,0.104534661,0.031245127,-0.056968256,,0.696309247
39.725,116.185,-0.05230349,0.038389419,-0.008090675,-0.000114428,0.000218302,0.002788811,-0.02140961,0.078633266,-0.18276069,0.666875726,1.969082829,2.435398422,1.052777672,1.316082263,0.469652233,0.610823646,0.851102051,1.679229601,0.815575185,1.141720024,0.74888616,0.728257513,0.521722037,0.977234308,0.683376401,0.904585881,0.32786947,-0.005152136,0.024620139,,0.738705885
